module,type
M1.1,Platelets
M1.2,Interferon
M2.1,Undetermined
M2.2,Cell Cycle
M2.3,Erythrocytes
M3.1,Erythrocytes
M3.2,Inflammation
M3.3,Cell Cycle
M3.4,Interferon
M3.5,Cell Cycle
M3.6,Cytotoxic/NK
M4.1,T cells
M4.2,Inflammation
M4.3,Protein Synthesis
M4.4,Undetermined
M4.5,Protein Synthesis
M4.6,Inflammation
M4.7,Cell Cycle
M4.8,Undetermined
M4.9,Undetermined
M4.10,B cell
M4.11,Plasma Cells
M4.12,Undetermined
M4.13,Inflammation
M4.14,Monocytes
M4.15,T cells
M4.16,Undetermined
M5.1,Inflammation
M5.2,Undetermined
M5.3,Undetermined
M5.4,Undetermined
M5.5,Undetermined
M5.6,Mitochondrial
M5.7,Inflammation
M5.8,Undetermined
M5.9,Protein Synthesis
M5.10,Mitochondrial
M5.11,Undetermined
M5.12,Interferon
M5.13,Undetermined
M5.14,Undetermined
M5.15,Neutrophils
M6.1,Undetermined
M6.2,Mitochondrial
M6.3,Undetermined
M6.4,Undetermined
M6.5,Undetermined
M6.6,Apoptosis / Survival
M6.7,Undetermined
M6.8,Undetermined
M6.9,Undetermined
M6.10,Undetermined
M6.11,Cell Cycle
M6.12,Mitochondrial
M6.13,Cell Death
M6.14,Undetermined
M6.15,Undetermined
M6.16,Cell Cycle
M6.17,Undetermined
M6.18,Erythrocytes
M6.19,Undetermined
M6.20,Undetermined
M7.1,Inflammation
M7.2,Undetermined
M7.3,Undetermined
M7.4,Undetermined
M7.5,Undetermined
M7.6,Undetermined
M7.7,Undetermined
M7.8,Undetermined
M7.9,Undetermined
M7.10,Undetermined
M7.11,Undetermined
M7.12,Undetermined
M7.13,Undetermined
M7.14,Undetermined
M7.15,Undetermined
M7.16,Undetermined
M7.17,Undetermined
M7.18,Undetermined
M7.19,Undetermined
M7.20,Undetermined
M7.21,Undetermined
M7.22,Undetermined
M7.23,Undetermined
M7.24,Undetermined
M7.25,Undetermined
M7.26,Undetermined
M7.27,Undetermined
M7.28,Undetermined
M7.29,Undetermined
M7.30,Undetermined
M7.31,Undetermined
M7.32,Undetermined
M7.33,Undetermined
M7.34,Undetermined
M7.35,Undetermined
M8.1,Undetermined
M8.2,Undetermined
M8.3,Undetermined
M8.4,Undetermined
M8.5,Undetermined
M8.6,Undetermined
M8.7,Undetermined
M8.8,Undetermined
M8.9,Undetermined
M8.10,Undetermined
M8.11,Undetermined
M8.12,Undetermined
M8.13,Undetermined
M8.14,Undetermined
M8.15,Undetermined
M8.16,Undetermined
M8.17,Undetermined
M8.18,Undetermined
M8.19,Undetermined
M8.20,Undetermined
M8.21,Undetermined
M8.22,Undetermined
M8.23,Undetermined
M8.24,Undetermined
M8.25,Undetermined
M8.26,Undetermined
M8.27,Undetermined
M8.28,Undetermined
M8.29,Undetermined
M8.30,Undetermined
M8.31,Undetermined
M8.32,Undetermined
M8.33,Undetermined
M8.34,Undetermined
M8.35,Undetermined
M8.36,Undetermined
M8.37,Undetermined
M8.38,Undetermined
M8.39,Undetermined
M8.40,Undetermined
M8.41,Undetermined
M8.42,Undetermined
M8.43,Undetermined
M8.44,Undetermined
M8.45,Undetermined
M8.46,Cytotoxic/NK
M8.47,Undetermined
M8.48,Undetermined
M8.49,Undetermined
M8.50,Undetermined
M8.51,Undetermined
M8.52,Undetermined
M8.53,Undetermined
M8.54,Undetermined
M8.55,Undetermined
M8.56,Undetermined
M8.57,Undetermined
M8.58,Undetermined
M8.59,Undetermined
M8.60,Undetermined
M8.61,Undetermined
M8.62,Undetermined
M8.63,Undetermined
M8.64,Undetermined
M8.65,Undetermined
M8.66,Undetermined
M8.67,Undetermined
M8.68,Undetermined
M8.69,Undetermined
M8.70,Undetermined
M8.71,Undetermined
M8.72,Undetermined
M8.73,Undetermined
M8.74,Undetermined
M8.75,Undetermined
M8.76,Undetermined
M8.77,Undetermined
M8.78,Undetermined
M8.79,Undetermined
M8.80,Undetermined
M8.81,Undetermined
M8.82,Undetermined
M8.83,Immune Responses
M8.84,Undetermined
M8.85,Undetermined
M8.86,Undetermined
M8.87,Undetermined
M8.88,Undetermined
M8.89,Undetermined
M8.90,Undetermined
M8.91,Undetermined
M8.92,Undetermined
M8.93,Undetermined
M8.94,Undetermined
M8.95,Undetermined
M8.96,Undetermined
M8.97,Undetermined
M8.98,Undetermined
M8.99,Undetermined
M8.100,Undetermined
M8.101,Undetermined
M8.102,Undetermined
M8.103,Undetermined
M8.104,Undetermined
M8.105,Undetermined
M8.106,Undetermined
M8.107,Undetermined
M8.108,Undetermined
M8.109,Undetermined
M8.110,Undetermined
M8.111,Undetermined
M9.1,Undetermined
M9.2,Undetermined
M9.3,Undetermined
M9.4,Undetermined
M9.5,Undetermined
M9.6,Undetermined
M9.7,Undetermined
M9.8,Undetermined
M9.9,Undetermined
M9.10,Undetermined
M9.11,Undetermined
M9.12,Undetermined
M9.13,Undetermined
M9.14,Undetermined
M9.15,Undetermined
M9.16,Undetermined
M9.17,Undetermined
M9.18,Undetermined
M9.19,Undetermined
M9.20,Undetermined
M9.21,Undetermined
M9.22,Undetermined
M9.23,Undetermined
M9.24,Undetermined
M9.25,Undetermined
M9.26,Undetermined
M9.27,Undetermined
M9.28,Undetermined
M9.29,Undetermined
M9.30,Undetermined
M9.31,Undetermined
M9.32,Undetermined
M9.33,Undetermined
M9.34,Undetermined
M9.35,Undetermined
M9.36,Undetermined
M9.37,Undetermined
M9.38,Undetermined
M9.39,Undetermined
M9.40,Undetermined
M9.41,Undetermined
M9.42,Cell Cycle
M9.43,Undetermined
M9.44,Undetermined
M9.45,Undetermined
M9.46,Undetermined
M9.47,Undetermined
M9.48,Undetermined
M9.49,Undetermined
M9.50,Undetermined
M9.51,Undetermined
M9.52,Undetermined
ldg_a,Low-density granulocyte
ldg_b,Low-density granulocyte
ldg_1.1,Low-density granulocyte
ldg_2.1,Low-density granulocyte
mg,Metagene
