name,value
M1.1,GP9
M1.1,VWF
M1.1,ALOX12
M1.1,C1orf198
M1.1,MPL
M1.1,PTGS1
M1.1,SELP
M1.1,ITGA2B
M1.1,CXCR2P1
M1.1,ABCC3
M1.1,ACRBP
M1.1,CTTN
M1.1,CTDSPL
M1.1,ACSBG1
M1.1,ITGB5
M1.1,SPARC
M1.1,FHL1
M1.1,TREML1
M1.1,CXCL5
M1.1,NRGN
M1.1,LY6G6F
M1.1,SEPT5
M1.1,TSPAN9
M1.1,PPBP
M1.1,TNNC2
M1.1,DNM3
M1.1,MMD
M1.1,MYLK
M1.1,SEC14L5
M1.1,RBPMS2
M1.1,SCGB1C1
M1.1,PROS1
M1.1,SPOCD1
M1.1,CAVIN2
M1.1,HOMER2
M1.1,BEX3
M1.1,MYL9
M1.1,CLEC1B
M1.1,SYTL4
M1.1,ENDOD1
M1.1,LINC01011
M1.1,TSC22D1
M1.1,BEND2
M1.1,TMEM40
M1.1,SLC8A3
M1.1,NDUFAF3
M1.1,PARVB
M1.1,CALD1
M1.1,GP6
M1.1,MGLL
M1.1,CABP5
M1.1,TFPI
M1.1,F13A1
M1.1,PDLIM1
M1.1,GUCY1A1
M1.1,PGRMC1
M1.1,MEIS1
M1.1,DAB2
M1.1,PF4V1
M1.1,SAMD14
M1.1,SLC24A3
M1.1,CLDN5
M1.1,LGALSL
M1.1,GRAP2
M1.1,MTURN
M1.1,TSPAN33
M1.1,EGF
M1.1,CMTM5
M1.1,NT5M
M1.1,ABLIM3
M1.1,TNFSF4
M1.1,JAM3
M1.1,GNAZ
M1.1,FSTL1
M1.1,TUBB1
M1.1,GNG11
M1.1,PDE5A
M1.1,SH3BGRL2
M1.1,BMP6
M1.1,NAT8B
M1.1,ASAP2
M1.1,MMRN1
M1.1,FAM69B
M1.1,HIST1H2AG
M1.2,LY6E
M1.2,IFIT1
M1.2,OAS1
M1.2,IFIT3
M1.2,OAS3
M1.2,OASL
M1.2,ISG15
M1.2,HERC5
M1.2,MX1
M1.2,BATF2
M1.2,LAMP3
M1.2,IFI44L
M1.2,XAF1
M1.2,IFI44
M1.2,OAS2
M1.2,TRIM6
M1.2,HES4
M1.2,OTOF
M1.2,DDX60
M1.2,IFITM3
M1.2,CXCL10
M1.2,EPSTI1
M1.2,SERPING1
M1.2,RSAD2
M1.2,RTP4
M2.1,SLC5A8
M2.1,ZNF14
M2.1,RAX2
M2.1,EIF2AK4
M2.1,SLC25A20
M2.1,RNF213
M2.1,SLC25A51
M2.1,MAGT1
M2.1,DNM1P46
M2.1,PTP4A2
M2.1,PIP4K2B
M2.1,ALPP
M2.1,PBLD
M2.1,SDHAP1
M2.1,AHR
M2.1,ANKRD30B
M2.1,ERGIC1
M2.1,HACD4
M2.1,HAUS2
M2.1,USP49
M2.1,ZNF786
M2.1,CSF2RA
M2.1,LINC00476
M2.1,MCM8
