name,value
ldg_a,ANO6
ldg_a,CXCL5
ldg_a,ESAM
ldg_a,GP6
ldg_a,GRB14
ldg_a,HMGB1
ldg_a,IGKC
ldg_a,IGLC1
ldg_a,ITGA9
ldg_a,ITGB1
ldg_a,JAM3
ldg_a,MSN
ldg_a,PF4V1
ldg_a,THRB
ldg_a,PF4
ldg_a,PPBP
ldg_a,ITGB3
ldg_a,CLU
ldg_a,PDGFA
ldg_a,THBS1
ldg_a,ABCC4
ldg_a,APP
ldg_a,CD36
ldg_a,DMTN
ldg_a,EGF
ldg_a,ENDOD1
ldg_a,F13A1
ldg_a,ITGA2B
ldg_a,MMRN1
ldg_a,PROS1
ldg_a,RAB27B
ldg_a,SPARC
ldg_a,SYTL4
ldg_a,VCL
ldg_a,VWF
ldg_a,SDC4
ldg_a,ADCY3
ldg_a,ADRA2A
ldg_a,AFAP1L2
ldg_a,CCDC88A
ldg_a,F2R
ldg_a,GADD45A
ldg_a,MMD
ldg_a,NCAPG2
ldg_a,PDE5A
ldg_a,PDGFC
ldg_a,PRKAR2B
ldg_a,PTK2
ldg_a,SNCA
ldg_a,STRADB
ldg_a,TAL1
ldg_a,TCL1A
ldg_a,TNIK
ldg_a,ABCC3
ldg_a,ABHD15
ldg_a,ABI2
ldg_a,ABLIM3
ldg_a,ACER3
ldg_a,ACRBP
ldg_a,ACSBG1
ldg_a,ACVR1
ldg_a,AFAP1
ldg_a,AFF3
ldg_a,AGBL5
ldg_a,AGPAT5
ldg_a,AIG1
ldg_a,AKIP1
ldg_a,ALDH1A1
ldg_a,ALOX12
ldg_a,ANKRD28
ldg_a,AP1S2
ldg_a,AQP10
ldg_a,AR
ldg_a,ARHGAP18
ldg_a,ARHGAP21
ldg_a,ARHGAP32
ldg_a,ARHGAP6
ldg_a,ARHGEF12
ldg_a,ARMCX3
ldg_a,ASAP2
ldg_a,ATP5E
ldg_a,ATP5S
ldg_a,ATP9A
ldg_a,AVPR1A
ldg_a,B4GALT6
ldg_a,BACE1
ldg_a,BCL11A
ldg_a,BCL2L1
ldg_a,BCL2L2
ldg_a,BEND2
ldg_a,BET1
ldg_a,BEX3
ldg_a,BICD1
ldg_a,BLNK
ldg_a,BMP6
ldg_a,BMP8B
ldg_a,C12orf75
ldg_a,C12orf76
ldg_a,C15orf52
ldg_a,C15orf54
ldg_a,C19orf33
ldg_a,C1orf198
ldg_a,C2orf88
ldg_a,C7orf73
ldg_a,CA13
ldg_a,CA2
ldg_a,CALD1
ldg_a,CAMTA1
ldg_a,CANX
ldg_a,CASP6
ldg_a,CD151
ldg_a,CD226
ldg_a,CDC14B
ldg_a,CDIP1
ldg_a,CDK2AP1
ldg_a,CDK6
ldg_a,CDKL1
ldg_a,CDYL
ldg_a,CHD9
ldg_a,CLCN3
ldg_a,CLDN5
ldg_a,CLEC1B
ldg_a,CLIC4
ldg_a,CMTM5
ldg_a,CNRIP1
ldg_a,CNST
ldg_a,COMT
ldg_a,CPED1
ldg_a,CPNE5
ldg_a,CRAT
ldg_a,CRLS1
ldg_a,CTC-338M12.4
ldg_a,CTDSPL
ldg_a,CTTN
ldg_a,DAAM1
ldg_a,DAB2
ldg_a,DCLRE1A
ldg_a,DDX11L2
ldg_a,DENND2C
ldg_a,DIMT1
ldg_a,DNAJC6
ldg_a,DNM3
ldg_a,DPPA4
ldg_a,DPYSL2
ldg_a,DST
ldg_a,EGLN3
ldg_a,EHD3
ldg_a,ELOVL7
ldg_a,ENKUR
ldg_a,EPB41L3
ldg_a,ERG
ldg_a,ERV3-1
ldg_a,FAM20B
ldg_a,FAM212B-AS1
ldg_a,FAM65C
ldg_a,FAM69B
ldg_a,FAM81B
ldg_a,FAXDC2
ldg_a,FHL1
ldg_a,FHL2
ldg_a,FKBP1B
ldg_a,FNBP1L
ldg_a,FRMD3
ldg_a,FSTL1
ldg_a,GAS2L1
ldg_a,GGTA1P
ldg_a,GLCE
ldg_a,GMPR
ldg_a,GNA12
ldg_a,GNAZ
ldg_a,GNG11
ldg_a,GNG8
ldg_a,GP1BA
ldg_a,GP5
ldg_a,GPX1
ldg_a,GRAP2
ldg_a,GSTP1
ldg_a,GUCY1A3
ldg_a,GUCY1B3
ldg_a,H1F0
ldg_a,H2AFJ
ldg_a,HEMGN
ldg_a,HEXIM2
ldg_a,HGD
ldg_a,HIST1H2AE
ldg_a,HIST1H2BJ
ldg_a,HIST1H2BO
ldg_a,HIST1H4I
ldg_a,HMGN1
ldg_a,HRASLS
ldg_a,IGF2BP3
ldg_a,IRS1
ldg_a,ITGB5
ldg_a,KALRN
ldg_a,KCND3
ldg_a,KIF2A
ldg_a,KLHL5
ldg_a,LAPTM4B
ldg_a,LGALSL
ldg_a,LINC00853
ldg_a,LINC00938
ldg_a,LIPH
ldg_a,LMNA
ldg_a,LOC101928419
ldg_a,LOC105371967
ldg_a,LOC105377276
ldg_a,LOC283194
ldg_a,LPAR5
ldg_a,LRBA
ldg_a,LTBP1
ldg_a,LYPLAL1
ldg_a,LZTS2
ldg_a,M1AP
ldg_a,MAGI2-AS3
ldg_a,MAGOHB
ldg_a,MAP1A
ldg_a,MAP1B
ldg_a,MAP3K7CL
ldg_a,MAST4
ldg_a,MAX
ldg_a,MBTD1
ldg_a,MCM6
ldg_a,MCUR1
ldg_a,MEIS1
ldg_a,MEST
ldg_a,MFAP3L
ldg_a,MGLL
ldg_a,MINPP1
ldg_a,MITF
ldg_a,MLH3
ldg_a,MOB1B
ldg_a,MPL
ldg_a,MSANTD3
ldg_a,MTHFD2L
ldg_a,MTMR2
ldg_a,MTURN
ldg_a,MYB
ldg_a,MYCT1
ldg_a,MYL9
ldg_a,MYLK
ldg_a,MYNN
ldg_a,NAP1L1
ldg_a,NAT8B
ldg_a,NCK1-AS1
ldg_a,NCKAP1
ldg_a,ND4
ldg_a,NENF
ldg_a,NEXN
ldg_a,NIPA1
ldg_a,NLK
ldg_a,NORAD
ldg_a,NPRL3
ldg_a,NREP
ldg_a,NRGN
ldg_a,NT5M
ldg_a,NUTM2A-AS1
ldg_a,OPN3
ldg_a,P2RY12
ldg_a,PANX1
ldg_a,PARD3
ldg_a,PARVB
ldg_a,PAWR
ldg_a,PBX1
ldg_a,PCYT1B
ldg_a,PDE2A
ldg_a,PDE3A
ldg_a,PDLIM1
ldg_a,PDZD2
ldg_a,PDZK1IP1
ldg_a,PEAR1
ldg_a,PGRMC1
ldg_a,PITPNM2
ldg_a,PKHD1L1
ldg_a,PKIG
ldg_a,PLA2G12A
ldg_a,PLEKHA8P1
ldg_a,PLOD2
ldg_a,PNMA1
ldg_a,PPM1L
ldg_a,PRDX6
ldg_a,PRG2
ldg_a,PROSER2
ldg_a,PRTFDC1
ldg_a,PRUNE1
ldg_a,PSD3
ldg_a,PSPH
ldg_a,PTCRA
ldg_a,PTGIR
ldg_a,PTGS1
ldg_a,PTPN18
ldg_a,PTPRS
ldg_a,PXDC1
ldg_a,PYGB
