name,value
mg,IFI44L
mg,EPSTI1
mg,HERC5
mg,IFI44
mg,IFI27
mg,RSAD2
mg,ISG15
mg,OASL
mg,IFIT3
mg,CMPK2
mg,IFIT1
mg,USP18
mg,SIGLEC1
mg,MX2
mg,MX1
mg,LY6E
mg,PLSCR1
mg,OAS2
mg,SPATS2L
mg,OAS1
mg,OAS3
mg,PARP12
mg,SCO2
mg,IFIH1
mg,IFITM3
mg,IFITM1
mg,DDX60
mg,TRIM22
mg,RTP4
mg,SAMD9L
mg,XAF1
mg,IFI35
mg,TNFAIP6
mg,MT2A
mg,LAP3
mg,HERC6
mg,FBXO6
mg,TDRD7
mg,IFIT5
mg,PHF11
mg,IFIT2
mg,TAP1
mg,TOR1B
mg,TNFSF13B
mg,ELANE
mg,IRF7
mg,DHX58
mg,ZBP1
mg,TYMP
mg,GRN
mg,LAMP3
mg,IFI6
mg,NTNG2
mg,SAT1
mg,SERPING1
mg,DEFA4
mg,DDX58
mg,SAMD9
mg,PARP9
mg,MT1E
mg,IRF9
mg,TCN2
mg,MT1HL1
mg,HSH2D
mg,ISG20
mg,ZCCHC2
mg,SP100
mg,LMO2
mg,GBP1
mg,IFITM2
mg,LGALS3BP
mg,REM2
mg,TNFSF10
mg,HESX1
mg,MT1A
mg,CCR1
mg,CEACAM1
mg,MYD88
mg,BST2
mg,LHFPL2
mg,FFAR2
mg,MT1F
mg,RPL10A
mg,CD1C
mg,VSIG1
mg,GPR183
mg,DSC1
mg,KLRB1
mg,FBL
mg,EIF3E
mg,ABCB1
mg,NAP1L3
mg,EIF3L
