name,value
GO_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY,TLR6
GO_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY,NLRP3
GO_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY,GBP5
GO_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY,PYDC2
GO_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY,DDX3X
GO_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY,NLRC3
GO_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY,SIRT2
GO_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY,USP50
GO_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY,MEFV
GO_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY,EIF2AK2
GO_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY,DHX33
GO_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY,STMP1
GO_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY,TLR4
GO_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY,ATAT1
GO_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY,CPTP
GO_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY,AIM2
GO_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY,CD36
REACTOME_INFLAMMASOMES,NFKB2
REACTOME_INFLAMMASOMES,P2RX7
REACTOME_INFLAMMASOMES,NLRC4
REACTOME_INFLAMMASOMES,NLRP1
REACTOME_INFLAMMASOMES,HSP90AB1
REACTOME_INFLAMMASOMES,MEFV
REACTOME_INFLAMMASOMES,PYCARD
REACTOME_INFLAMMASOMES,NFKB1
REACTOME_INFLAMMASOMES,PANX1
REACTOME_INFLAMMASOMES,TXN
REACTOME_INFLAMMASOMES,CASP1
REACTOME_INFLAMMASOMES,PSTPIP1
REACTOME_INFLAMMASOMES,APP
REACTOME_INFLAMMASOMES,NLRP3
REACTOME_INFLAMMASOMES,AIM2
REACTOME_INFLAMMASOMES,SUGT1
REACTOME_INFLAMMASOMES,BCL2L1
REACTOME_INFLAMMASOMES,BCL2
REACTOME_INFLAMMASOMES,RELA
REACTOME_INFLAMMASOMES,TXNIP
WINTER_HYPOXIA_METAGENE,ABCB1
WINTER_HYPOXIA_METAGENE,ACAT1
WINTER_HYPOXIA_METAGENE,PLIN2
WINTER_HYPOXIA_METAGENE,ADM
WINTER_HYPOXIA_METAGENE,ADORA2B
WINTER_HYPOXIA_METAGENE,AK2
WINTER_HYPOXIA_METAGENE,AK3
WINTER_HYPOXIA_METAGENE,ALDH1A1
WINTER_HYPOXIA_METAGENE,ALDH1A3
WINTER_HYPOXIA_METAGENE,ALDOA
WINTER_HYPOXIA_METAGENE,ALDOC
WINTER_HYPOXIA_METAGENE,ANGPT2
WINTER_HYPOXIA_METAGENE,ANGPTL4
WINTER_HYPOXIA_METAGENE,ANXA1
WINTER_HYPOXIA_METAGENE,ANXA2
WINTER_HYPOXIA_METAGENE,ANXA5
WINTER_HYPOXIA_METAGENE,ARHGAP5
WINTER_HYPOXIA_METAGENE,ARSL
WINTER_HYPOXIA_METAGENE,ART1
WINTER_HYPOXIA_METAGENE,BACE2
WINTER_HYPOXIA_METAGENE,BCL2L1
WINTER_HYPOXIA_METAGENE,BCL2L2
WINTER_HYPOXIA_METAGENE,BHLHE40
WINTER_HYPOXIA_METAGENE,BHLHE41
WINTER_HYPOXIA_METAGENE,BIK
WINTER_HYPOXIA_METAGENE,BIRC2
WINTER_HYPOXIA_METAGENE,BNIP3
WINTER_HYPOXIA_METAGENE,BNIP3L
WINTER_HYPOXIA_METAGENE,BPI
WINTER_HYPOXIA_METAGENE,BTG1
WINTER_HYPOXIA_METAGENE,VPS51
WINTER_HYPOXIA_METAGENE,CA12
WINTER_HYPOXIA_METAGENE,CA9
WINTER_HYPOXIA_METAGENE,CALD1
WINTER_HYPOXIA_METAGENE,CCNG2
